,open,high,low,close,volume,trade_count,vwap,sma5,sma10,sma20,sma50,sma100,sma200,ema13,ema485,std,lower20,upper20,rsi,macd_delta,stochastic_delta,plus_di,minus_di,adx_smooth,kijun_sen,tenkan_sen,senkou_span_a,senkou_span_b,obv
2020-09-10,370.38,377.04,356.29,357.46,102.9,255.0,369.0041510204,356.73,366.293,388.3325,0.0,0.0,0.0,373.0667273380955,386.7416004751374,37.20037928234068,313.9317414353186,462.73325856468136,45.24340455433146,-0.808777764513871,1.8725114566899457,17.025452646741456,24.880159855826818,27.241314416873383,0.0,373.43,0.0,0.0,-1679.1030000000003
2020-09-11,359.0,374.69,359.0,370.7,162.617,120.0,382.2465340032,365.33000000000004,361.447,386.90749999999997,0.0,0.0,0.0,375.3874504828433,386.88103015087233,36.60026255028783,313.7069748994243,460.1080251005756,49.54712828191602,0.3748663624816402,9.326872511456706,18.444767712538265,22.128542376850167,25.98745066844057,0.0,355.0,0.0,0.0,-1516.4860000000003
2020-09-12,370.9,388.91,365.35,388.91,189.918,76.0,366.461213629,371.20799999999997,359.16600000000005,385.962,0.0,0.0,0.0,373.8713888941721,385.50690104402474,36.908439766535814,312.14512046692835,459.77887953307163,44.59133959298428,0.43877855405155497,-5.561189993238674,16.57490771487956,22.1707969278841,23.86999772764378,0.0,349.895,0.0,0.0,-1706.4040000000005
2020-09-13,384.79,387.11,355.18,365.0,134.717,70.0,375.058632912,371.3,357.945,385.4255,0.0,0.0,0.0,373.95266740838423,384.82650948393996,36.9940844561668,311.4373310876664,459.4136689123336,46.849318743241014,0.793641090064912,-0.948463676658406,15.304299492143263,20.471216009198372,22.72683575384694,399.62,354.16,376.89,0.0,-1571.6870000000004
2020-09-14,364.89,382.85,362.25,374.43,182.287,66.0,368.6974021735,371.716,361.803,384.0025,0.0,0.0,0.0,371.8611387151515,383.305278576378,37.412683795071466,309.17713240985705,458.82786759014294,43.81322493252274,0.5919991558333573,-2.8707414349978606,14.665950829822,21.010309050475705,21.79753487980347,399.62,356.66,378.14,0.0,-1753.9740000000004
2020-09-15,373.72,378.08,356.21,359.54,368.455,94.0,370.1057773134,373.224,364.977,383.568,0.0,0.0,0.0,372.7847348664709,383.006455981634,37.42662055275634,308.7147588944873,458.42124110551265,48.34104457187331,1.0417031693662304,14.34629822971499,15.344038051148907,20.728554518019923,21.330860170127593,399.62,357.595,378.6075,0.0,-1385.5190000000005
2020-09-16,363.6,381.65,363.12,378.24,41.48,52.0,381.5089674542,372.442,368.886,383.0685,0.0,0.0,0.0,374.5499725059638,383.12191727159245,37.337405543904666,308.39368891219067,457.7433110878093,49.91240202873647,1.5015997836889037,28.43578250328622,18.85485434782888,21.063015432990046,20.57768574115464,399.62,364.38,382.0,0.0,-1344.0390000000004
2020-09-17,380.07,393.82,376.79,385.0,148.649,33.0,379.492579163,376.29800000000006,373.753,382.0855,0.0,0.0,0.0,375.953745138278,383.1878361719293,37.032525902914095,308.0204481941718,456.15055180582823,49.738863579257554,1.7155671320887462,13.050769183534882,18.699635972229444,21.04999531251911,19.03297576878383,399.62,374.5,387.06,0.0,-1492.6880000000006
2020-09-18,385.09,385.09,376.23,384.28,81.223,26.0,384.9799683587,377.68600000000004,374.49300000000005,379.8395,0.0,0.0,0.0,376.734056034517,383.08604488577225,35.61863507702118,308.6022298459576,451.0767701540424,48.997373712644894,1.6990718260793267,-1.9863800461153716,21.601621837471924,23.37600384597277,17.710640508189872,399.62,374.5,387.06,0.0,-1573.9110000000005
2020-09-19,379.89,387.53,379.61,381.37,150.391,52.0,372.1888001942,380.64199999999994,376.179,376.39099999999996,0.0,0.0,0.0,376.3866877016803,382.6027186609973,32.51184336514934,311.3673132697013,441.4146867302986,47.1629846419384,1.41995753619504,-9.317985425558206,21.462707937817388,28.52849938566761,16.44629243947564,399.62,374.5,387.06,0.0,-1724.3020000000006
2020-09-20,380.74,380.74,365.14,374.32,282.202,96.0,346.6231830391,373.42999999999995,373.32700000000006,369.81000000000006,0.0,0.0,0.0,371.46964698420334,380.4063220080739,24.450038036780377,320.9099239264393,418.7100760735608,39.84012395859153,0.27044312809310744,-36.030411121659476,19.1061273709083,36.99339832408083,16.347542936381203,399.62,362.975,381.2975,0.0,-2006.5040000000006
2020-09-21,373.93,373.93,332.13,342.18,76.538,19.0,340.5236818312,364.418,368.42999999999995,364.9385,0.0,0.0,0.0,366.9414379703267,378.23776769405396,19.760212872082345,325.4180742558353,404.4589257441647,39.38118481781528,-0.4591444140836858,-23.375840416837253,18.42411159192808,35.6728752853022,17.783533815042073,399.62,362.975,381.2975,0.0,-2083.0420000000004
2020-09-22,343.18,345.69,336.7,339.94,207.778,53.0,327.7028755691,352.284,364.291,361.72850000000005,0.0,0.0,0.0,360.7230134739411,375.34841044882916,20.96208202326309,319.80433595347387,403.65266404652624,36.11497151266118,-1.2967513117322405,-3.552711253041755,17.600513855042383,42.85008557874971,19.12391873047345,399.62,353.575,376.59749999999997,0.0,-2290.82
2020-09-23,338.77,342.0,313.33,323.61,161.8,65.0,345.6855113721,344.91999999999996,361.303,359.62399999999997,0.0,0.0,0.0,358.4035610145171,373.73952050064906,20.462303487144595,318.6993930257108,400.54860697428916,42.68000689319771,-1.0602931168322383,17.381002187236724,19.577876970082574,38.47450914826865,21.076891048356657,399.62,353.575,376.59749999999997,0.0,-2129.02
