timestamp,open,high,low,close,volume,trade_count,vwap
2019-08-22 05:00:00+00:00,9962.46,10023.87,9927.31,9966.98,174.02559291,1930,9979.437068
2019-08-22 06:00:00+00:00,9966.98,10043.92,9869.0,9983.58,400.85603197,2234,9953.044701
2019-08-22 07:00:00+00:00,9986.36,10006.69,9950.96,9964.01,119.78883357,1187,9978.581335
2019-08-22 08:00:00+00:00,9964.01,9977.45,9895.94,9919.99,197.47187656,1432,9933.730908
2019-08-22 09:00:00+00:00,9920.0,9989.33,9885.63,9977.13,162.10575746,1242,9950.741754
2019-08-22 10:00:00+00:00,9977.76,10063.4,9977.76,10015.28,374.2797343,1594,10019.254427
2019-08-22 11:00:00+00:00,10015.27,10015.28,9876.0,9961.65,457.922272,2351,9934.477322
2019-08-22 12:00:00+00:00,9961.65,10065.49,9940.73,10045.0,265.21247217,2329,10007.756491
2019-08-22 13:00:00+00:00,10045.0,10145.0,10044.99,10116.27,440.99957245,2705,10107.678152
2019-08-22 14:00:00+00:00,10116.27,10120.36,10050.01,10090.0,314.49405704,2390,10084.114461
2019-08-22 15:00:00+00:00,10090.01,10175.0,10085.62,10107.11,405.13449383,2785,10127.057198
2019-08-22 16:00:00+00:00,10106.99,10142.66,10059.44,10118.41,357.11387879,2945,10096.727579
2019-08-22 17:00:00+00:00,10118.39,10199.99,10105.46,10161.57,504.16679177,2987,10156.458287
2019-08-22 18:00:00+00:00,10161.57,10237.53,10155.82,10192.99,662.3354091,3392,10203.90273
2019-08-22 19:00:00+00:00,10192.99,10217.5,10155.0,10166.92,307.96852318,2355,10183.582485
2019-08-22 20:00:00+00:00,10166.0,10210.0,10153.11,10172.01,239.82766733,2264,10186.987145
2019-08-22 21:00:00+00:00,10175.74,10175.74,10099.83,10142.89,338.84485979,2836,10134.5142
2019-08-22 22:00:00+00:00,10142.89,10203.09,10142.89,10156.95,257.6967663,2625,10172.649045
2019-08-22 23:00:00+00:00,10158.84,10167.88,10099.99,10107.15,471.98571628,3095,10119.773233
2019-08-23 00:00:00+00:00,10105.61,10140.0,10035.84,10123.26,373.9086193,3632,10084.845508
2019-08-23 01:00:00+00:00,10122.12,10134.56,10078.83,10096.88,160.4440941,2494,10105.309991
2019-08-23 02:00:00+00:00,10096.85,10125.0,10064.99,10108.5,129.09949422,2423,10094.120288
